# Generated by tools/nelisp-c-primitive-census.sh -- do not hand-edit.
# 2026-09-21 | standalone=../nelisp-wt-segG1/target/nelisp | emacs=GNU Emacs 31.1
# c-primitives=1481 present=382 native=90 interpreted=292 absent=1099
#
# name	state	score	agent	vendor
%	interpreted	168	56	0
force-mode-line-update	absent	0	0	0
force-window-update	absent	0	0	0
format	native	474	158	0
format-message	interpreted	0	0	0
format-mode-line	absent	0	0	0
format-network-address	absent	0	0	0
format-time-string	interpreted	3	1	0
forward-char	interpreted	0	0	0
forward-comment	interpreted	0	0	0
forward-line	interpreted	0	0	0
forward-word	absent	0	0	0
frame--face-hash-table	absent	0	0	0
frame--set-was-invisible	absent	0	0	0
frame--z-order-lessp	absent	0	0	0
frame-after-make-frame	absent	0	0	0
frame-ancestor-p	absent	0	0	0
frame-bottom-divider-width	absent	0	0	0
frame-char-height	absent	0	0	0
frame-char-width	absent	0	0	0
frame-child-frame-border-width	absent	0	0	0
frame-first-window	absent	0	0	0
frame-focus	absent	0	0	0
frame-font-cache	absent	0	0	0
frame-fringe-width	absent	0	0	0
frame-id	absent	0	0	0
frame-initial-p	absent	0	0	0
frame-internal-border-width	absent	0	0	0
frame-list	absent	0	0	0
frame-live-p	absent	0	0	0
frame-native-height	absent	0	0	0
frame-native-width	absent	0	0	0
frame-old-selected-window	absent	0	0	0
frame-or-buffer-changed-p	absent	0	0	0
frame-parameter	absent	0	0	0
frame-parameters	absent	0	0	0
frame-parent	absent	0	0	0
frame-pointer-visible-p	absent	0	0	0
frame-position	absent	0	0	0
frame-right-divider-width	absent	0	0	0
frame-root-frame	absent	0	0	0
frame-root-window	absent	0	0	0
frame-scale-factor	absent	0	0	0
frame-scroll-bar-height	absent	0	0	0
frame-scroll-bar-width	absent	0	0	0
frame-selected-window	absent	0	0	0
frame-terminal	absent	0	0	0
frame-text-cols	absent	0	0	0
frame-text-height	absent	0	0	0
frame-text-lines	absent	0	0	0
frame-text-width	absent	0	0	0
frame-total-cols	absent	0	0	0
frame-total-lines	absent	0	0	0
frame-visible-p	absent	0	0	0
frame-window-state-change	absent	0	0	0
framep	absent	0	0	0
frexp	absent	0	0	0
fringe-bitmaps-at-pos	absent	0	0	0
fround	interpreted	0	0	0
fset	interpreted	15	5	0
ftruncate	interpreted	0	0	0
func-arity	interpreted	0	0	0
funcall	interpreted	1209	403	0
funcall-interactively	absent	0	0	0
funcall-with-delayed-message	absent	0	0	0
function	absent	0	0	0
function-equal	absent	0	0	0
functionp	interpreted	165	55	0
gap-position	absent	0	0	0
gap-size	absent	0	0	0
garbage-collect	native	0	0	0
garbage-collect-heapsize	absent	0	0	0
garbage-collect-maybe	absent	0	0	0
generate-new-buffer-name	interpreted	9	3	0
get	interpreted	0	0	0
get-buffer	interpreted	0	0	0
get-buffer-create	interpreted	0	0	0
get-buffer-process	absent	0	0	0
get-buffer-window	absent	0	0	0
get-byte	absent	0	0	0
get-char-property	absent	0	0	0
get-char-property-and-overlay	absent	0	0	0
get-display-property	absent	0	0	0
get-file-buffer	absent	0	0	0
get-internal-run-time	absent	0	0	0
get-load-suffixes	absent	0	0	0
get-pos-property	absent	0	0	0
get-process	absent	0	0	0
get-text-property	interpreted	0	0	0
get-truename-buffer	absent	0	0	0
get-unicode-property-internal	absent	0	0	0
get-unused-category	absent	0	0	0
get-unused-iso-final-char	absent	0	0	0
get-variable-watchers	absent	0	0	0
getenv-internal	absent	0	0	0
gethash	native	126	42	0
gnutls-asynchronous-parameters	absent	0	0	0
gnutls-available-p	absent	0	0	0
gnutls-boot	absent	0	0	0
gnutls-bye	absent	0	0	0
gnutls-ciphers	absent	0	0	0
gnutls-deinit	absent	0	0	0
gnutls-digests	absent	0	0	0
gnutls-error-fatalp	absent	0	0	0
gnutls-error-string	absent	0	0	0
gnutls-errorp	absent	0	0	0
gnutls-format-certificate	absent	0	0	0
gnutls-get-initstage	absent	0	0	0
gnutls-hash-digest	absent	0	0	0
gnutls-hash-mac	absent	0	0	0
gnutls-macs	absent	0	0	0
gnutls-peer-status	absent	0	0	0
gnutls-peer-status-warning-describe	absent	0	0	0
gnutls-symmetric-decrypt	absent	0	0	0
gnutls-symmetric-encrypt	absent	0	0	0
goto-char	interpreted	51	17	0
group-gid	absent	0	0	0
group-name	absent	0	0	0
group-real-gid	absent	0	0	0
handle-switch-frame	absent	0	0	0
handler-bind-1	absent	0	0	0
hash-table-count	native	0	0	0
hash-table-p	interpreted	6	2	0
hash-table-rehash-size	absent	0	0	0
hash-table-rehash-threshold	absent	0	0	0
hash-table-size	absent	0	0	0
hash-table-test	interpreted	0	0	0
hash-table-weakness	absent	0	0	0
help--describe-vector	absent	0	0	0
iconify-frame	absent	0	0	0
identity	interpreted	9	3	0
if	absent	2727	909	0
image-cache-size	absent	0	0	0
image-flush	absent	0	0	0
image-mask-p	absent	0	0	0
image-metadata	absent	0	0	0
image-size	absent	0	0	0
image-transforms-p	absent	0	0	0
imagep	absent	0	0	0
indent-to	absent	0	0	0
indirect-function	interpreted	6	2	0
indirect-variable	absent	0	0	0
init-image-library	absent	0	0	0
innermost-minibuffer-p	absent	0	0	0
inotify-add-watch	absent	0	0	0
inotify-rm-watch	absent	0	0	0
inotify-valid-p	absent	0	0	0
input-pending-p	absent	0	0	0
insert	interpreted	69	23	0
insert-and-inherit	absent	0	0	0
insert-before-markers	interpreted	0	0	0
insert-before-markers-and-inherit	absent	0	0	0
insert-buffer-substring	absent	0	0	0
insert-byte	absent	0	0	0
insert-char	interpreted	0	0	0
insert-file-contents	interpreted	75	25	0
insert-special-event	absent	0	0	0
integer-or-marker-p	absent	0	0	0
integerp	native	549	183	0
interactive	interpreted	33	11	0
interactive-form	absent	0	0	0
intern	native	75	25	0
intern-soft	native	0	0	0
internal--define-uninitialized-variable	absent	0	0	0
internal--hash-table-buckets	absent	0	0	0
internal--hash-table-histogram	absent	0	0	0
internal--hash-table-index-size	absent	0	0	0
internal--labeled-narrow-to-region	absent	0	0	0
internal--labeled-widen	absent	0	0	0
internal--obarray-buckets	absent	0	0	0
internal--set-buffer-modified-tick	absent	0	0	0
internal--track-mouse	absent	0	0	0
internal-char-font	absent	0	0	0
internal-complete-buffer	absent	0	0	0
internal-copy-lisp-face	absent	0	0	0
internal-default-interrupt-process	absent	0	0	0
internal-default-process-filter	absent	0	0	0
internal-default-process-sentinel	absent	0	0	0
internal-default-signal-process	absent	0	0	0
internal-delete-indirect-variable	absent	0	0	0
internal-describe-syntax-value	absent	0	0	0
internal-event-symbol-parse-modifiers	absent	0	0	0
internal-face-x-get-resource	absent	0	0	0
internal-get-lisp-face-attribute	absent	0	0	0
internal-handle-focus-in	absent	0	0	0
internal-lisp-face-attribute-values	absent	0	0	0
internal-lisp-face-empty-p	absent	0	0	0
internal-lisp-face-equal-p	absent	0	0	0
internal-lisp-face-p	absent	0	0	0
internal-make-lisp-face	absent	0	0	0
internal-make-var-non-special	absent	0	0	0
internal-merge-in-global-face	absent	0	0	0
internal-set-alternative-font-family-alist	absent	0	0	0
internal-set-alternative-font-registry-alist	absent	0	0	0
internal-set-font-selection-order	absent	0	0	0
internal-set-lisp-face-attribute	absent	0	0	0
internal-set-lisp-face-attribute-from-resource	absent	0	0	0
internal-show-cursor	absent	0	0	0
internal-show-cursor-p	absent	0	0	0
internal-stack-stats	absent	0	0	0
internal-subr-documentation	absent	0	0	0
interpreted-function-p	interpreted	3	1	0
interrupt-process	absent	0	0	0
invisible-p	absent	0	0	0
invocation-directory	absent	0	0	0
invocation-name	absent	0	0	0
isnan	interpreted	0	0	0
iso-charset	absent	0	0	0
json-insert	absent	0	0	0
json-parse-buffer	absent	0	0	0
json-parse-string	absent	6	2	0
json-serialize	interpreted	9	3	0
key-binding	absent	0	0	0
key-description	interpreted	0	0	0
keyboard-coding-system	absent	0	0	0
keymap--get-keyelt	absent	0	0	0
keymap-parent	absent	0	0	0
keymap-prompt	absent	0	0	0
keymapp	interpreted	0	0	0
keywordp	interpreted	72	24	0
kill-all-local-variables	interpreted	0	0	0
kill-buffer	interpreted	12	4	0
kill-emacs	interpreted	12	4	0
kill-local-variable	absent	0	0	0
kill-process	interpreted	0	0	0
last-nonminibuffer-frame	absent	0	0	0
ldexp	absent	6	2	0
length	native	2004	668	0
length<	interpreted	0	0	0
length=	interpreted	0	0	0
length>	interpreted	0	0	0
let	absent	5910	1970	0
let*	absent	5910	1970	0
libxml-available-p	absent	0	0	0
line-beginning-position	interpreted	0	0	0
line-end-position	interpreted	0	0	0
line-number-at-pos	interpreted	0	0	0
line-number-display-width	absent	0	0	0
line-pixel-height	absent	0	0	0
list	interpreted	5103	1701	0
list-fonts	absent	0	0	0
list-system-processes	absent	0	0	0
listp	native	375	125	0
load	native	9	3	0
load-average	absent	0	0	0
local-variable-if-set-p	absent	0	0	0
local-variable-p	absent	0	0	0
locale-info	absent	0	0	0
locate-file-internal	absent	0	0	0
lock-buffer	absent	0	0	0
lock-file	interpreted	3	1	0
log	interpreted	27	9	0
logand	native	99	33	0
logb	absent	0	0	0
logcount	absent	0	0	0
logior	native	3	1	0
lognot	native	0	0	0
logxor	native	36	12	0
long-line-optimizations-p	absent	0	0	0
looking-at	interpreted	0	0	0
lookup-image-map	absent	0	0	0
lookup-key	interpreted	0	0	0
lossage-size	absent	0	0	0
lower-frame	absent	0	0	0
lread--substitute-object-in-subtree	absent	0	0	0
macroexpand	interpreted	0	0	0
make-bool-vector	native	0	0	0
make-byte-code	absent	0	0	0
make-category-set	absent	0	0	0
make-category-table	absent	0	0	0
make-char	absent	0	0	0
make-char-table	native	0	0	0
make-closure	absent	0	0	0
make-condition-variable	absent	0	0	0
make-directory-internal	absent	0	0	0
make-finalizer	absent	0	0	0
make-frame-invisible	absent	0	0	0
make-frame-visible	absent	0	0	0
make-hash-table	native	78	26	0
make-indirect-buffer	absent	0	0	0
make-interpreted-closure	absent	0	0	0
make-keymap	absent	0	0	0
make-list	interpreted	3	1	0
make-local-variable	absent	0	0	0
make-marker	absent	0	0	0
make-mutex	absent	0	0	0
make-network-process	interpreted	0	0	0
make-overlay	absent	0	0	0
make-pipe-process	interpreted	0	0	0
make-process	interpreted	0	0	0
make-record	native	0	0	0
make-serial-process	absent	0	0	0
make-sparse-keymap	interpreted	3	1	0
make-string	native	9	3	0
make-symbol	native	3	1	0
make-symbolic-link	interpreted	0	0	0
make-temp-file-internal	absent	0	0	0
make-temp-name	interpreted	0	0	0
make-terminal-frame	absent	0	0	0
make-thread	absent	0	0	0
make-variable-buffer-local	absent	0	0	0
make-vector	native	1353	451	0
makunbound	native	0	0	0
malloc-info	absent	0	0	0
malloc-trim	absent	0	0	0
map-char-table	absent	0	0	0
map-charset-chars	absent	0	0	0
map-keymap	absent	0	0	0
map-keymap-internal	absent	0	0	0
mapatoms	absent	0	0	0
mapbacktrace	absent	0	0	0
mapc	interpreted	0	0	0
mapcan	interpreted	0	0	0
mapcar	native	276	92	0
mapconcat	interpreted	33	11	0
maphash	native	15	5	0
mark-marker	absent	0	0	0
marker-buffer	absent	0	0	0
marker-insertion-type	absent	0	0	0
marker-last-position	absent	0	0	0
marker-position	absent	0	0	0
markerp	interpreted	3	1	0
match-beginning	interpreted	24	8	0
match-data	interpreted	0	0	0
match-data--translate	absent	0	0	0
match-end	interpreted	27	9	0
matching-paren	absent	0	0	0
max	interpreted	327	109	0
max-char	interpreted	0	0	0
md5	absent	0	0	0
member	native	171	57	0
memory-info	absent	3	1	0
memory-use-counts	absent	0	0	0
memq	native	507	169	0
memql	interpreted	0	0	0
menu-bar-menu-at-x-y	absent	0	0	0
menu-or-popup-active-p	absent	0	0	0
merge-face-attribute	absent	0	0	0
message	interpreted	39	13	0
message-box	absent	0	0	0
message-or-box	absent	0	0	0
min	interpreted	135	45	0
minibuffer-contents	absent	0	0	0
minibuffer-contents-no-properties	absent	0	0	0
minibuffer-depth	absent	0	0	0
minibuffer-innermost-command-loop-p	absent	0	0	0
minibuffer-prompt	absent	0	0	0
minibuffer-prompt-end	absent	0	0	0
minibuffer-selected-window	absent	0	0	0
minibuffer-window	absent	0	0	0
minibufferp	absent	0	0	0
minor-mode-key-binding	absent	0	0	0
mod	interpreted	105	35	0
modify-category-entry	absent	0	0	0
modify-frame-parameters	absent	0	0	0
modify-syntax-entry	interpreted	0	0	0
module-function-p	absent	0	0	0
module-load	absent	0	0	0
mouse-pixel-position	absent	0	0	0
mouse-position	absent	0	0	0
mouse-position-in-root-frame	absent	0	0	0
move-overlay	absent	0	0	0
move-point-visually	absent	0	0	0
move-to-column	absent	0	0	0
move-to-window-line	absent	0	0	0
multibyte-char-to-unibyte	absent	0	0	0
multibyte-string-p	native	6	2	0
mutex-lock	absent	0	0	0
mutex-name	absent	0	0	0
mutex-unlock	absent	0	0	0
mutexp	absent	0	0	0
narrow-to-region	interpreted	0	0	0
native-comp-available-p	absent	0	0	0
native-comp-function-p	absent	0	0	0
native-comp-unit-file	absent	0	0	0
native-comp-unit-set-file	absent	0	0	0
native-elisp-load	absent	0	0	0
natnump	native	0	0	0
nconc	interpreted	3	1	0
network-interface-info	absent	0	0	0
network-interface-list	absent	0	0	0
network-lookup-address-info	absent	0	0	0
new-fontset	absent	0	0	0
newline-cache-check	absent	0	0	0
next-char-property-change	absent	0	0	0
next-frame	absent	0	0	0
next-overlay-change	absent	0	0	0
next-property-change	absent	0	0	0
next-read-file-uses-dialog-p	absent	0	0	0
next-single-char-property-change	absent	0	0	0
next-single-property-change	absent	0	0	0
